parent_type,parent_id,parent_label,relationship,child_type,child_id,child_label
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b,b
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b-i,i
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-2-b-ii,ii
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,3
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3-a,a
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3-b,b
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3-c,c
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB-3-d,d
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB,has_sub_provision,provision,schedule-2-paragraph-AB-4,4
class_block,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,has_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.1,AB.1
class_block,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,Class AB - new dwellinghouses on terrace buildings in commercial or mixed use,has_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,AB.2
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,1
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-a,a
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-b,b
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-c,c
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-d,d
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e,e
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e-i,i
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-e-ii,ii
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-f,f
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-g,g
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-h,h
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-i,i
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-1-j,j
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-2,2
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-3,3
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-4,4
provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2,has_sub_provision,provision,schedule-2-part-20-crossheading-class-ab-new-dwellinghouses-on-terrace-buildings-in-commercial-or-mixed-use_paragraph-AB.2-5,5
